objectid,title,collection_link,filename,description,relevant_standard,format,display_template,project_link,explanation,subject,date,archival_date,location,idaho_county,latitude,longitude,language,object_location,image_small,image_thumb
1918-flu-pandemic,1918 Flu Pandemic Collection,https://www.lib.uidaho.edu/digital/1918flu/,1918flu.jpg,"In 1918, a virulent strain of influenza affected approximately 500 million individuals worldwide. The disease reached the University of Idaho in October of that year, prompting the university to cancel activities, enact a quarantine, and encourage the use of gauze face masks. The 1918 Flu Pandemic Collection brings together correspondence, reports, news articles, oral histories, and other materials that highlight the local response to the 1918 pandemic.",6-9.WH.6.5 Anaylyze the context of historical events to determine the motivations of people in those events,application/pdf,collection,https://www.lib.uidaho.edu/digital/1918flu/,"This digital collection gathers materials related to how students and university leaders at U of I responded to the flu pandemic that coincided with WWI. A variety of primary sources, including newspapers clippings, photographs, personal accounts, and more correspondence provide students with a chance to analyze original records and consider what can be learned from each document. ",quarantine; colleges and universities; disease; pandemic,1910,1910-1975,"Moscow, Idaho",Latah County,46.72881237,-117.0125869,eng,https://objects.lib.uidaho.edu/1918flu/ug12_418_1.jpg,https://objects.lib.uidaho.edu/1918flu/small/ug12_418_1_sm.jpg,https://objects.lib.uidaho.edu/1918flu/thumbs/ug12_418_1_th.jpg
ccc-idaho,Civilian Conservation Corps in Idaho,https://www.lib.uidaho.edu/digital/cccidaho/,cccidaho.jpg,"The CCC in Idaho Digital Project invites engagement and interpretation of the history and legacy of the CCC in the rural West through a focus on its impact on the land, participants, and communities in Idaho. The site encourages participation through access to thousands of digitized photographs, oral histories, articles, maps, and documents donated to the project. Use of this collection is further enhanced by guides, digital tools, and interactive features.","9-12.US2.13 Analyze the impact of the Great Depression and the Dust Bowl on businesses, workers, and racial and ethnic minorities",image/jpeg,collection,https://www.lib.uidaho.edu/digital/cccidaho/,"The economic crash of 1929 was the worst crisis in American history, throwing millions out of work and impoverishing families. President Franklin Delano Roosevelt acted quickly to revitalize the country, in part by creating the Civilian Conservation Corps, which became the most popular program of the New Deal. The CCC worked to restore devastated forests, cropland and range, support families and communities, and provide job training and education for three million young men between 1933 to 1942, including 86,000 enrollees in Idaho.",labor; economy; forestry,1905,1905-2013,,,,,eng,https://objects.lib.uidaho.edu/cccidaho/cccidaho348.jpg,https://objects.lib.uidaho.edu/cccidaho/small/cccidaho348_sm.jpg,https://objects.lib.uidaho.edu/cccidaho/thumbs/cccidaho348_th.jpg
idaho-cities-and-towns,Idaho Cities and Towns Collection,https://www.lib.uidaho.edu/digital/cities/,cities.jpg,"A digital collection comprised of historical photographs of over 130 Idaho Cities and Towns, spanning the years 1862 to 2000.","4.SS.2.3.2 Discuss the impact of settlement in Idaho on American Indian tribal lands, such as aboriginal and/or ceded territories, and the Treaties of 1855 and 1863.; 4.SS.2.3.3 Identify the geographic features of Idaho and explain their impact on settlement.; 4.SS.2.3.4 Compare and contrast: city/suburb/town, urban/rural, farm/factory, and agriculture/industry; 5.SS.1.10 Review that American Indians were the first inhabitants of the United States and analyze the impact of westward expansion on Indigenous peoples; 6-9.WH.2.5 Explain how transportation routes stimulate the growth of cities and the exchange of goods, knowledge, and technology. ",image/jpeg,collection,https://www.lib.uidaho.edu/digital/cities/,"Students can explore the growth of cities and towns across Idaho as well as the effects this growth had on the environment and local indigenous groups through photographs of main streets, major historical events, businesses, and people.",cities and towns; westward expansion,1862,1862-2000,,,,,eng,https://objects.lib.uidaho.edu/cities/cities446.jpg,https://objects.lib.uidaho.edu/cities/small/cities446_sm.jpg,https://objects.lib.uidaho.edu/cities/thumbs/cities446_th.jpg
family-tree-collection,"Family Tree Collection, a Potlatch Forests, Inc. Newsletter",https://www.lib.uidaho.edu/digital/familytree/,familytree.jpg,"The Family Tree was a newsletter published by Potlatch Forests, Inc. for their employees from 1936 - 1952. The newsletter covers local (Potlatch area) and national events, with a special focus on issues pertaining to Potlatch Forests and its loggers and other employees.",4.SS.3.2.1 Describe examples of historic and current technological innovations in relation to economic growth in Idaho.; 4.SS.3.2.2 Describe how geographic features of Idaho have determined the economic base of Idaho's regions,application/pdf,collection,https://www.lib.uidaho.edu/digital/familytree/,"Students can browse newspaper articles documenting historical events in the context of a local logging company, including the North Idaho company's supportive efforts during and after WWII.",labor; logging; cities and towns,1936,1936-1952,"Potlatch, Idaho",Latah County,46.92142861,-116.8988258,eng,https://objects.lib.uidaho.edu/phs/small/phs1510_sm.jpg,https://objects.lib.uidaho.edu/phs/small/phs1510_sm.jpg,https://objects.lib.uidaho.edu/phs/thumbs/phs1510_th.jpg
potlatch-lumber-company-photograph,Potlatch Lumber Company Photograph Collection,https://www.lib.uidaho.edu/digital/plcphotos/,plcp.jpg,"A collection of over 1500 photographs from the Potlatch Lumber Company depicting working conditions, workers, logging and mill operations, and other related subject matter.","4.SS.3.2.2 Describe how geographic features of Idaho have determined the economic base of Idaho's regions;  6-9.WG.2.11 Analyze the locations of the major manufacturing and agricultural areas in regions throughout the world; 6-9.WG.3.1 Describe abundance, scarcity, and distribution of resources; explain their impact on decision making such as trade, settlement, stewardship of the natural environment, and development of infrastructure. ",image/jpeg,collection,https://www.lib.uidaho.edu/digital/plcphotos/,"Students can explore Idaho's forestry industry, from logging and milling to lumber transport and reseeding. Photographs also depict other critical aspects of forest stewardship, such as controlled burns and fire lookouts. ",,1865,1865-1999,"Potlatch, Idaho",Latah County,46.92142861,-116.8988258,eng,https://objects.lib.uidaho.edu/plcphotos/plcphotos864.jpg,https://objects.lib.uidaho.edu/plcphotos/small/plcphotos864_sm.jpg,https://objects.lib.uidaho.edu/plcphotos/thumbs/plcphotos864_th.jpg
barnard-stockbridge-photograph,Barnard-Stockbridge Photograph Collection,https://www.lib.uidaho.edu/digital/barstock/,barstock.jpg,"The Barnard-Stockbridge Collection features over 3000 photographs selected from over 200,000 nitrocellulose and glass plate negatives taken by Nellie Stockbridge and T.N. Barnard during the years 1894-1964. The photos depict various aspects of life in the Wallace/Kellogg mining area.","4.SS.1.2.2 Describe the role of fur trading and the discovery of gold and silver in the settlement of Idaho; 4.SS.3.2.2 Describe how geographic features of Idaho have determined the economic base of Idaho's regions; 5.SS.1.11 Describe the impact of scientific and technological advances on westward expansion including but not limited to the cotton gin, the reaper, the steam engine, and steam locomotive",image/jpeg,collection,https://www.lib.uidaho.edu/digital/barstock/,"Students can dive into this series of photographs to visualize what it was like to live and work in northern Idaho mining towns. The collection includes photos of mining structures, processes, and tools, and the workers that utilized them, as well as local parades and natural disasters from this time period.",,1880,1880-1963,"Wallace Idaho; Kellogg, Idaho; Mullan, Idaho; Burke, Idaho",,,,eng,https://objects.lib.uidaho.edu/barstock/barstock94.jpg,https://objects.lib.uidaho.edu/barstock/small/barstock94_sm.jpg,https://objects.lib.uidaho.edu/barstock/thumbs/barstock94_th.jpg
latah-legacy,Latah Legacy,https://www.lib.uidaho.edu/digital/latahlegacy/,latahlegacy,"A collection of Latah County Historical Society's long running journal publication, the Latah Legacy. The issues feature articles, reviews, resources, and events that explore the post-colonization history of the region and document the organization's history.",6-9.WH.6.1,application/pdf,collection,https://www.lib.uidaho.edu/digital/latahlegacy/,combination of primary and secondary sources that show students how historical periods were studied by others. How history enthusiasts research the early pioneer history in latah county,,1972,1972-2025,"Bovill, Idaho; Deary, Idaho; Elk River, Idaho; Genesee, Idaho; Harvard, Idaho; Helmer, Idaho; Juliaetta, Idaho; Kendrick, Idaho; Kooskia, Idaho; Lewiston, Idaho; Linden, Idaho; Moscow, Idaho; Onaway, Idaho; Potlatch, Idaho; Princeton, Idaho; Pullman, Washington; Soldier, Idaho; Troy, Idaho; Viola, Idaho",Latah County,,,eng,https://objects.lib.uidaho.edu/latahlegacy/latahlegacy_banner.png,https://objects.lib.uidaho.edu/latahlegacy/small/latahlegacy_banner_sm.jpg,https://objects.lib.uidaho.edu/latahlegacy/thumbs/latahlegacy_banner_th.jpg
rural-womens-history,Rural Women's History Project,https://www.lib.uidaho.edu/digital/rwhp/,rwhp.jpg,"Interviews with Idaho women in Latah, Benewah, Clearwater, Nez Perce, and Shoshone counties discussing the history of rural women's roles, the changes over time that have affected their lives, and how they see themselves in light of these changes.",6-12.HT1.4,audio/mp3,collection,https://www.lib.uidaho.edu/digital/rwhp/,"Primary sources from women who discuss how their roles in the home and society have changed, how they view themselves and how that's changed. Will communicate and evaluate related historical arguments ",,1975,1975-1980,"Avery, Idaho; Bovill, Idaho; Calder, idaho; Elk River, Idaho; Genesee, Idaho; Glenwood, Washington; Grangeville, Idaho; Kellogg, Idaho; Kendrick, Idaho; Kooskia, Idaho; Kootenai, Idaho; Lenore, Idaho; Lewiston, Idaho; Moscow, Idaho; Orofino, Idaho; Potlatch, Idaho; Sandpoint, Idaho; St. Maries, Idaho; Troy, Idaho; Wardner, Idaho",,,,eng,https://objects.lib.uidaho.edu/rwhp/mg68-2-81-myrtle-warren.jpg,https://objects.lib.uidaho.edu/rwhp/small/mg68-2-81-myrtle-warren_sm.jpg,https://objects.lib.uidaho.edu/rwhp/thumbs/mg68-2-81-myrtle-warren_th.jpg
bunker-hill,Bunker Hill Labor Collection,https://www.lib.uidaho.edu/digital/bunkerhill/,bunkerhill.jpg,The Bunker Hill Labor History Collection is 463 letters of correspondence between the managers and owners of the Bunker Hill Mine & Sullivan M. & C. Co.,9-12.US2.2,application/pdf,collection,https://www.lib.uidaho.edu/digital/bunkerhill/,Primary sources to explore labor issues in the mines,,1899,1899-1902,,,,,eng,https://objects.lib.uidaho.edu/bunkerhill/small/bunkerhill14_sm.jpg,https://objects.lib.uidaho.edu/bunkerhill/small/bunkerhill14_sm.jpg,https://objects.lib.uidaho.edu/bunkerhill/thumbs/bunkerhill14_th.jpg
priest-lake,Priest Lake Historical Photograph Collection,https://www.lib.uidaho.edu/digital/priestlake/,priestlake.jpg,"A digital collection comprised of 380 historical photographs documenting the waters, boats, buildings, landscapes, and people of the region around Priest Lake, Idaho.","9-12.US2.21 Evaluate Supreme Court and executive decisions to limit civil liberties and to relocate Japanese Americans and others to internment camps; 5.SS.1.11 Describe the impact of scientific and technological advances on westward expansion including but not limited to the cotton gin, the reaper, the steam engine, and steam locomotive.",image/jpeg,collection,https://www.lib.uidaho.edu/digital/priestlake/,Unique images of Italian and German internment; Images of logging and farming activity in Priest Lake,,1880,1880-1950,"Priest Lake, Idaho",Bonner County,48.54135503,-116.9262722,eng,https://objects.lib.uidaho.edu/priestlake/priestlake139.jpg,https://objects.lib.uidaho.edu/priestlake/small/priestlake139_sm.jpg,https://objects.lib.uidaho.edu/priestlake/thumbs/priestlake139_th.jpg
